bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
वृ॒ष॒भस्स॒ताम्,स॒ताम् वृ॒ष॒भः,वृ॒ष॒भस्स॒ताम्,वृ॒ष॒भस्स॒ताम् स॒ताम् वृ॒ष॒भः वृ॒ष॒भस्स॒ताम् ।,"वृ॒ष॒भस्स॒तां  स॒ताँवृ॒ष॒भो वृ॒ष॒भस्स॒ताम्, वृ॒ष॒भस्स॒तां  स॒तां  वृ॒ष॒भो वृ॒ष॒भस्स॒ताम्"
स॒ताम॑सि,अ॒सि॒ स॒ताम्,स॒ताम॑सि,स॒ताम॑सि अ॒सि॒ स॒ताम् स॒ताम॑सि ।,स॒ताम॑स्य॒सि॒स॒तां  स॒ताम॑सि
अ॒सि॒त्‍वम्,त्वम् अ॒सि॒,अ॒सि॒त्‍वम्,अ॒सि॒त्‍वम् त्वम् अ॒सि॒ अ॒सि॒त्‍वम् ।,"अ॒सि॒त्‍वन्त्वम॒सि॒अ॒सि॒त्‍वम्, अ॒सि॒त्‍वं  त्वम॒सि॒अ॒सि॒त्‍वम्"
त्‍वंविष्णुः॑,विष्णुः॑ त्वम्,त्‍वंविष्णुः॑,त्‍वंविष्णुः॑ विष्णुः॑ त्वम् त्‍वंविष्णुः॑ ।,"त्‍वंविष्णुः॑विष्णुः॑त्वन्त्‍वंविष्णुः॑, त्‍वंविष्णुः॑विष्णुः॑त्वं  त्‍वंविष्णुः॑"
विष्णु॑रुरुगा॒यः,उ॒रु॒ऽगा॒यः विष्णुः॑,विष्णु॑रुरुगा॒यः,विष्णु॑रुरुगा॒यः उ॒रु॒ऽगा॒यः विष्णुः॑ विष्णु॑रुरुगा॒यः ।,"विष्णु॑रुरुगा॒य  उ॒रु॒ऽगा॒यो विष्णुः॑विष्णु॑रुरुगा॒यः, विष्णु॑रुरुगा॒ययु॒रु॒ऽगा॒यो विष्णुः॑विष्णु॑रुरुगा॒यः"
उ॒रु॒गा॒योन॑म॒स्यः॑,न॒म॒स्यः॑ उ॒रु॒ऽगा॒यः,उ॒रु॒गा॒योन॑म॒स्यः॑,उ॒रु॒गा॒योन॑म॒स्यः॑ न॒म॒स्यः॑ उ॒रु॒ऽगा॒यः उ॒रु॒गा॒योन॑म॒स्यः॑ ।,"उ॒रु॒गा॒योन॑म॒स्यः॑न॒म॒स्यः॑उ॒रु॒ऽगा॒य  उ॒रु॒गा॒योन॑म॒स्यः॑, उ॒रु॒गा॒योन॑म॒स्यः॑न॒म॒स्यः॑उ॒रु॒ऽगा॒ययु॒रु॒गा॒योन॑म॒स्यः॑"
उ॒रु॒गा॒यइत्यु॑रु॒bऽगा॒यः,,,उ॒रु॒गा॒यइत्यु॑रु॒ऽगा॒यः ।,उ॒रु॒गा॒यइत्यु॑रु॒ऽगा॒यः
न॒म॒स्यइति॑न॒म॒स्यः॑b॥,,,न॒म॒स्यइति॑न॒म॒स्यः॑॥ ,न॒म॒स्यइति॑न॒म॒स्यः॑
त्‍वंब्र॒ह्मा,ब्र॒ह्मा त्वम्,त्‍वंब्र॒ह्मा,त्‍वंब्र॒ह्मा ब्र॒ह्मा त्वम् त्‍वंब्र॒ह्मा ।,"त्‍वंब्र॒ह्माब्र॒ह्मात्वन्त्‍वंब्र॒ह्मा, त्‍वंब्र॒ह्माब्र॒ह्मात्वं  त्‍वंब्र॒ह्मा"
ब्र॒ह्मार॑यि॒वित्,र॒यि॒ऽवित् ब्र॒ह्मा,ब्र॒ह्मार॑यि॒वित्,ब्र॒ह्मार॑यि॒वित् र॒यि॒ऽवित् ब्र॒ह्मा ब्र॒ह्मार॑यि॒वित् ।,ब्र॒ह्मार॑यि॒विद्र॒यि॒ऽविद्ब्र॒ह्माब्र॒ह्मार॑यि॒वित्
र॒यि॒विद्ब्र॑ह्मणः,ब्र॒ह्म॒णः॒ र॒यि॒ऽवित्,र॒यि॒विद्ब्र॑ह्मणः,र॒यि॒विद्ब्र॑ह्मणः ब्र॒ह्म॒णः॒ र॒यि॒ऽवित् र॒यि॒विद्ब्र॑ह्मणः ।,र॒यि॒विद्ब्र॑ह्मणो ब्र॒ह्म॒णः॒र॒यि॒ऽविद्र॒यि॒विद्ब्र॑ह्मणः
र॒यि॒विदिति॑र॒यि॒bऽवित्,,,र॒यि॒विदिति॑र॒यि॒ऽवित् ।,र॒यि॒विदिति॑र॒यि॒ऽवित्
ब्र॒ह्म॒ण॒स्प॒ते॒,प॒ते॒ ब्र॒ह्म॒णः॒,ब्र॒ह्म॒ण॒स्प॒ते॒,ब्र॒ह्म॒ण॒स्प॒ते॒ प॒ते॒ ब्र॒ह्म॒णः॒ ब्र॒ह्म॒ण॒स्प॒ते॒ ।,ब्र॒ह्म॒ण॒स्प॒ते॒प॒ते॒ब्र॒ह्म॒णः॒ब्र॒ह्म॒ण॒स्प॒ते॒
प॒ते॒त्‍वम्,त्वम् प॒ते॒,प॒ते॒त्‍वम्,प॒ते॒त्‍वम् त्वम् प॒ते॒ प॒ते॒त्‍वम् ।,"प॒ते॒त्‍वन्त्वम्प॒ते॒प॒ते॒त्‍वम्, प॒ते॒त्‍वन्त्वं  प॒ते॒प॒ते॒त्‍वम्, प॒ते॒त्‍वं  त्वम्प॒ते॒प॒ते॒त्‍वम्, प॒ते॒त्‍वं  त्वं  प॒ते॒प॒ते॒त्‍वम्"
त्‍वंवि॑धर्तः,वि॒ध॒र्त॒रिति॑विऽधर्तः त्वम्,त्‍वंवि॑धर्तः,त्‍वंवि॑धर्तः वि॒ध॒र्त॒रिति॑विऽधर्तः त्वम् त्‍वंवि॑धर्तः ।,"त्‍वंवि॑धर्तो वि॒ध॒र्त॒रिति॑विऽधर्तस्त्वन्त्‍वंवि॑धर्तः, त्‍वंवि॑धर्तो वि॒ध॒र्त॒रिति॑विऽधर्तस्त्वं  त्‍वंवि॑धर्तः"
वि॒ध॒र्त॒स्स॒च॒से॒,स॒च॒से॒ वि॒ध॒र्त॒रिति॑विऽधर्तः,वि॒ध॒र्त॒स्स॒च॒से॒,वि॒ध॒र्त॒स्स॒च॒से॒ स॒च॒से॒ वि॒ध॒र्त॒रिति॑विऽधर्तः वि॒ध॒र्त॒स्स॒च॒से॒ ।,वि॒ध॒र्त॒स्स॒च॒से॒स॒च॒से॒वि॒ध॒र्त॒रिति॑विऽधर्तो वि॒ध॒र्त॒स्स॒च॒से॒
