bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
राजा॑वि॒शाम्,वि॒शाम् राजा॑,राजा॑वि॒शाम्,राजा॑वि॒शाम् वि॒शाम् राजा॑ राजा॑वि॒शाम् ।,"राजा॑वि॒शाँवि॒शां  राजा॑राजा॑वि॒शाम्, राजा॑वि॒शां  वि॒शां  राजा॑राजा॑वि॒शाम्"
वि॒शामति॑थिः,अति॑थिः वि॒शाम्,वि॒शामति॑थिः,वि॒शामति॑थिः अति॑थिः वि॒शाम् वि॒शामति॑थिः ।,"वि॒शामति॑थिरति॑थिर्वि॒शाँवि॒शामति॑थिः, वि॒शामति॑थिरति॑थिर्वि॒शां  वि॒शामति॑थिः"
अति॑थि॒श्चारुः॑,चारुः॑ अति॑थिः,अति॑थि॒श्चारुः॑,अति॑थि॒श्चारुः॑ चारुः॑ अति॑थिः अति॑थि॒श्चारुः॑ ।,अति॑थि॒श्चारुः॑चारुः॑अति॑थिरति॑थि॒श्चारुः॑
चारु॑रा॒यवे॑,आ॒यवे॑ चारुः॑,चारु॑रा॒यवे॑,चारु॑रा॒यवे॑ आ॒यवे॑ चारुः॑ चारु॑रा॒यवे॑ ।,चारु॑रा॒यवे॑आ॒यवे॑चारुः॑चारु॑रा॒यवे॑
आ॒यव॒इत्या॒यवे॑b॥८b॥,,,आ॒यव॒इत्या॒यवे॑॥८॥ ,आ॒यव॒इत्या॒यवे॑
ए॒वानः॑,नः॒ ए॒व,ए॒वानः॑,ए॒वानः॑ नः॒ ए॒व ए॒वानः॑ ।,ए॒वानः॑नः॒ए॒वै॒वानः॑
नो॒अ॒ग्ने॒,अ॒ग्ने॒ नः॒,नो॒अ॒ग्ने॒,नो॒अ॒ग्ने॒ अ॒ग्ने॒ नः॒ नो॒अ॒ग्ने॒ ।,नो॒अ॒ग्ने॒अ॒ग्ने॒नः॒नो॒अ॒ग्ने॒
अ॒ग्ने॒अ॒मृते॑षु,अ॒मृते॑षु अ॒ग्ने॒,अ॒ग्ने॒अ॒मृते॑षु,अ॒ग्ने॒अ॒मृते॑षु अ॒मृते॑षु अ॒ग्ने॒ अ॒ग्ने॒अ॒मृते॑षु ।,अ॒ग्ने॒अ॒मृते॑ष्व॒मृते॑ष्व॒ग्ने॒अ॒ग्ने॒अ॒मृते॑षु
अ॒मृते॑षुपूर्व्य,पू॒र्व्य॒ अ॒मृते॑षु,अ॒मृते॑षुपूर्व्य,अ॒मृते॑षुपूर्व्य पू॒र्व्य॒ अ॒मृते॑षु अ॒मृते॑षुपूर्व्य ।,अ॒मृते॑षुपूर्व्यपू॒र्व्य॒अ॒मृते॑ष्व॒मृते॑षुपूर्व्य
पू॒र्व्य॒धीः,धीः पू॒र्व्य॒,पू॒र्व्य॒धीः,पू॒र्व्य॒धीः धीः पू॒र्व्य॒ पू॒र्व्य॒धीः ।,पू॒र्व्य॒धीर्धीः  पू॒र्व्य॒पू॒र्व्य॒धीः
धीष्पी॑पाय,पी॒पा॒य॒ धीः,धीष्पी॑पाय,धीष्पी॑पाय पी॒पा॒य॒ धीः धीष्पी॑पाय ।,धीष्पी॑पायपी॒पा॒य॒धीर्धीष्पी॑पाय
पी॒पा॒य॒बृ॒हद्दि॑वेषु,बृ॒हत्ऽदि॑वेषु पी॒पा॒य॒,पी॒पा॒य॒बृ॒हद्दि॑वेषु,पी॒पा॒य॒बृ॒हद्दि॑वेषु बृ॒हत्ऽदि॑वेषु पी॒पा॒य॒ पी॒पा॒य॒बृ॒हद्दि॑वेषु ।,पी॒पा॒य॒बृ॒हद्दि॑वेषुबृ॒हत्ऽदि॑वेषुपी॒पा॒य॒पी॒पा॒य॒बृ॒हद्दि॑वेषु
बृ॒हद्दि॑वेषु॒मानु॑षा,मानु॑षा बृ॒हत्ऽदि॑वेषु,बृ॒हद्दि॑वेषु॒मानु॑षा,बृ॒हद्दि॑वेषु॒मानु॑षा मानु॑षा बृ॒हत्ऽदि॑वेषु बृ॒हद्दि॑वेषु॒मानु॑षा ।,बृ॒हद्दि॑वेषु॒मानु॑षामानु॑षाबृ॒हत्ऽदि॑वेषुबृ॒हद्दि॑वेषु॒मानु॑षा
बृ॒हद्दि॑वे॒ष्विति॑बृ॒हत्bऽदि॑वेषु,,,बृ॒हद्दि॑वे॒ष्विति॑बृ॒हत्ऽदि॑वेषु ।,बृ॒हद्दि॑वे॒ष्विति॑बृ॒हत्ऽदि॑वेषु
मानु॒षेति॒मानु॑षाb॥,,,मानु॒षेति॒मानु॑षा॥ ,मानु॒षेति॒मानु॑षा
दुहा॑नाधे॒नुः,धे॒नुः दुहा॑ना,दुहा॑नाधे॒नुः,दुहा॑नाधे॒नुः धे॒नुः दुहा॑ना दुहा॑नाधे॒नुः ।,दुहा॑नाधे॒नुर्धे॒नुर्दुहा॑नादुहा॑नाधे॒नुः
धे॒नुर्वृ॒जने॑षु,वृ॒जने॑षु धे॒नुः,धे॒नुर्वृ॒जने॑षु,धे॒नुर्वृ॒जने॑षु वृ॒जने॑षु धे॒नुः धे॒नुर्वृ॒जने॑षु ।,धे॒नुर्वृ॒जने॑षुवृ॒जने॑षुधे॒नुर्धे॒नुर्वृ॒जने॑षु
वृ॒जने॑षुका॒रवे॑,का॒रवे॑ वृ॒जने॑षु,वृ॒जने॑षुका॒रवे॑,वृ॒जने॑षुका॒रवे॑ का॒रवे॑ वृ॒जने॑षु वृ॒जने॑षुका॒रवे॑ ।,वृ॒जने॑षुका॒रवे॑का॒रवे॑वृ॒जने॑षुवृ॒जने॑षुका॒रवे॑
का॒रवे॒त्मना॑,त्मना॑ का॒रवे॑,का॒रवे॒त्मना॑,का॒रवे॒त्मना॑ त्मना॑ का॒रवे॑ का॒रवे॒त्मना॑ ।,का॒रवे॒त्मना॑त्मना॑का॒रवे॑का॒रवे॒त्मना॑
त्मना॑श॒तिन॑म्,श॒तिन॑म् त्मना॑,त्मना॑श॒तिन॑म्,त्मना॑श॒तिन॑म् श॒तिन॑म् त्मना॑ त्मना॑श॒तिन॑म् ।,"त्मना॑श॒तिन॑ं  श॒तिन॑न्त्मना॑त्मना॑श॒तिन॑म्, त्मना॑श॒तिन॑ं  श॒तिन॑ं  त्मना॑त्मना॑श॒तिन॑म्"
श॒तिनं॑पुरु॒रूप॑म्,पु॒रु॒ऽरूप॑म् श॒तिन॑म्,श॒तिनं॑पुरु॒रूप॑म्,श॒तिनं॑पुरु॒रूप॑म् पु॒रु॒ऽरूप॑म् श॒तिन॑म् श॒तिनं॑पुरु॒रूप॑म् ।,"श॒तिनं॑पुरु॒रूप॑म्पु॒रु॒ऽरूप॑ं  श॒तिन॑ं  श॒तिनं॑पुरु॒रूप॑म्, श॒तिनं॑पुरु॒रूप॑ं  पु॒रु॒ऽरूप॑ं  श॒तिन॑ं  श॒तिनं॑पुरु॒रूप॑म्"
पु॒रु॒रूप॑मि॒षणि॑,इ॒षणि॑ पु॒रु॒ऽरूप॑म्,पु॒रु॒रूप॑मि॒षणि॑,पु॒रु॒रूप॑मि॒षणि॑ इ॒षणि॑ पु॒रु॒ऽरूप॑म् पु॒रु॒रूप॑मि॒षणि॑ ।,"पु॒रु॒रूप॑मि॒षणि॑इ॒षणि॑पु॒रु॒ऽरूप॑म्पु॒रु॒रूप॑मि॒षणि॑, पु॒रु॒रूप॑मि॒षणि॑इ॒षणि॑पु॒रु॒ऽरूप॑ं  पु॒रु॒रूप॑मि॒षणि॑"
पु॒रु॒रूप॒मिति॑पु॒रु॒bऽरूप॑म्,,,पु॒रु॒रूप॒मिति॑पु॒रु॒ऽरूप॑म् ।,पु॒रु॒रूप॒मिति॑पु॒रु॒ऽरूप॑म्
इ॒षिणीती॒षणि॑b॥९b॥,,,इ॒षिणीती॒षणि॑॥९॥ ,इ॒षिणीती॒षणि॑
व॒यम॑ग्ने,अ॒ग्ने॒ व॒यम्,व॒यम॑ग्ने,व॒यम॑ग्ने अ॒ग्ने॒ व॒यम् व॒यम॑ग्ने ।,"व॒यम॑ग्नेऽ॒ग्ने॒व॒यँव॒यम॑ग्ने, व॒यम॑ग्नेऽ॒ग्ने॒व॒यं  व॒यम॑ग्ने"
अ॒ग्ने॒अर्व॑ता,अर्व॑ता अ॒ग्ने॒,अ॒ग्ने॒अर्व॑ता,अ॒ग्ने॒अर्व॑ता अर्व॑ता अ॒ग्ने॒ अ॒ग्ने॒अर्व॑ता ।,अ॒ग्ने॒अर्व॑तार्व॑ता॒ग्ने॒अ॒ग्ने॒अर्व॑ता
अर्व॑तावा,वा॒ अर्व॑ता,अर्व॑तावा,अर्व॑तावा वा॒ अर्व॑ता अर्व॑तावा ।,अर्व॑तावावा॒अर्व॑तार्व॑तावा
वा॒सु॒वीर्य॑म्,सु॒ऽवीर्य॑म् वा॒,वा॒सु॒वीर्य॑म्,वा॒सु॒वीर्य॑म् सु॒ऽवीर्य॑म् वा॒ वा॒सु॒वीर्य॑म् ।,"वा॒सु॒वीर्य॑ं  सु॒ऽवीर्य॑ँवा॒वा॒सु॒वीर्य॑म्, वा॒सु॒वीर्य॑ं  सु॒ऽवीर्य॑ं  वा॒वा॒सु॒वीर्य॑म्"
सु॒वीर्यं॒ब्रह्म॑णा,ब्रह्म॑णा सु॒ऽवीर्य॑म्,सु॒वीर्यं॒ब्रह्म॑णा,सु॒वीर्यं॒ब्रह्म॑णा ब्रह्म॑णा सु॒ऽवीर्य॑म् सु॒वीर्यं॒ब्रह्म॑णा ।,सु॒वीर्यं॒ब्रह्म॑णाब्रह्म॑णासु॒ऽवीर्य॑ं  सु॒वीर्यं॒ब्रह्म॑णा
सु॒वीर्य॒मिति॑सु॒bऽवीर्य॑म्,,,सु॒वीर्य॒मिति॑सु॒ऽवीर्य॑म् ।,सु॒वीर्य॒मिति॑सु॒ऽवीर्य॑म्
ब्रह्म॑णावा,वा॒ ब्रह्म॑णा,ब्रह्म॑णावा,ब्रह्म॑णावा वा॒ ब्रह्म॑णा ब्रह्म॑णावा ।,ब्रह्म॑णावावा॒ब्रह्म॑णाब्रह्म॑णावा
